"WORD","COUNT"
"extension","5002"
"existing","4575"
"proposed","4501"
"with","3747"
"storey","3259"
"rear","3104"
"planning","3100"
"construction","2990"
"building","2872"
"application","2734"
"single","2496"
"garage","2256"
"discharge","2138"
"condition","2089"
"from","1914"
"permission","1830"
"consent","1772"
"roof","1715"
"floor","1624"
"tree","1601"
"change","1575"
"dwelling","1565"
"area","1540"
"erection","1479"
"room","1409"
"listed","1407"
"access","1399"
"demolition","1380"
"front","1367"
"conditions","1353"
"trees","1329"
"amended","1304"
"side","1276"
"installation","1244"
"house","1193"
"works","1148"
"bedroom","1144"
"alterations","1136"
"associated","1123"
"approved","1095"
"replacement","1079"
"relating","1068"
"removal","1023"
"residential","1009"
"conversion","960"
"detached","925"
"windows","922"
"crown","903"
"first","903"
"kitchen","888"
"ground","876"
"garden","872"
"variation","856"
"dwellings","831"
"amendment","818"
"parking","814"
"conservation","813"
"elevation","798"
"including","778"
"internal","777"
"external","773"
"window","758"
"provide","739"
"development","734"
"landscaping","729"
"order","708"
"fell","696"
"porch","673"
"replace","672"
"received","669"
"property","656"
"material","654"
"agricultural","641"
"remove","640"
"form","638"
"site","631"
"plans","627"
"conservatory","613"
"over","606"
"storage","595"
"wall","586"
"illuminated","584"
"additional","577"
"timber","524"
"retrospective","510"
"preservation","497"
"entrance","487"
"double","484"
"flat","482"
"sign","474"
"land","469"
"plan","466"
"door","460"
"advertisement","458"
"reduce","458"
"sycamore","447"
"into","445"
"prior","431"
"accommodation","429"
"space","423"
"create","422"
"store","409"
"outline","408"
"within","407"
"dormer","405"
"height","404"
"extensions","397"
"class","394"
"materials","389"
"buildings","388"
"road","388"
"utility","388"
"office","383"
"pitched","376"
"notification","373"
"units","360"
"water","354"
"approval","353"
"varyco","345"
"holiday","342"
"boundary","337"
"fascia","330"
"steel","325"
"west","323"
"part","322"
"allow","321"
"stone","318"
"proposal","315"
"south","315"
"doors","314"
"bathroom","311"
"level","309"
"surface","304"
"north","299"
"east","297"
"ancillary","296"
"park","292"
"beech","291"
"layout","288"
"signs","286"
"above","282"
"high","279"
"matters","277"
"reserved","276"
"farm","274"
"shed","273"
"lift","272"
"provision","270"
"unit","267"
"former","266"
"bungalow","260"
"framed","256"
"branches","254"
"statement","254"
"dining","253"
